0	1	mikroCARM.exe -MSF -DBG -pSTM32F407VG -BIN -LHF -C -DL -SSA -O11111114 -fo168 -N"C:\Users\Dan\Desktop\New folder (2)\Nest4\nest\nest.mcpar" -SP"C:\Mikroelektronika\mikroC PRO for ARM\Defs\" -SP"C:\Mikroelektronika\mikroC PRO for ARM\Uses\ST M4\" -SP"C:\Users\Dan\Desktop\New folder (2)\Nest4\nest\" -IP"C:\Mikroelektronika\mikroC PRO for ARM\Uses\ST M4\" -IP"C:\Users\Dan\Desktop\New folder (2)\Nest4\nest\" "nest.c" "interruptUart1.c" "interruptUart6.c" "interruptUart2.c" "timers.c" "crc.c" "uartSend.c" "batteryChange.c" "batteryLavel.c" "wheelDirection.c" "gearVelocity.c" "batteryControl.c" "lightControl.c" "interruptUart4.c" "interruptUart3.c" "__Lib_Math.emcl" "__Lib_MathDouble.emcl" "__Lib_Delays.emcl" "__Lib_System_4XX.emcl" "__Lib_GPIO_32F4xx_Defs.emcl" "__Lib_GPIO_32F4xx.emcl" "__Lib_Button.emcl" "__Lib_ADC_123_32F20x_16ch.emcl" "__Lib_I2C_123.emcl" "__Lib_PWM_1234589_12_10_11_13_14.emcl" "__Lib_UART_123_45_6.emcl"	 
diagnostics: 0	122	Compilation Started	def.h
diagnostics: 459	123	Compiled Successfully	nest.c
diagnostics: 0	122	Compilation Started	interruptUart1.c
hint: 0	1004	interrupt handler (interruptMotor at 0x0035)	interruptUart1.c
diagnostics: 7	123	Compiled Successfully	interruptUart1.c
diagnostics: 0	122	Compilation Started	externdef.h
hint: 0	1004	interrupt handler (interruptLora at 0x0057)	interruptUart6.c
diagnostics: 262	123	Compiled Successfully	interruptUart6.c
diagnostics: 0	122	Compilation Started	interruptUart2.c
hint: 0	1004	interrupt handler (interruptGps at 0x0036)	interruptUart2.c
diagnostics: 7	123	Compiled Successfully	interruptUart2.c
diagnostics: 0	122	Compilation Started	externdef.h
hint: 0	1004	interrupt handler (Timer2_interrupt at 0x002C)	timers.c
hint: 0	1004	interrupt handler (Timer4_interrupt at 0x002E)	timers.c
diagnostics: 115	123	Compiled Successfully	timers.c
diagnostics: 0	122	Compilation Started	crc.c
diagnostics: 113	123	Compiled Successfully	crc.c
hint: 4	1164	Variable 'Hb' has been eliminated by optimizer	crc.c
hint: 5	1164	Variable 'Lb' has been eliminated by optimizer	crc.c
hint: 29	1164	Variable 'Hb' has been eliminated by optimizer	crc.c
hint: 30	1164	Variable 'Lb' has been eliminated by optimizer	crc.c
hint: 53	1164	Variable 'Hb' has been eliminated by optimizer	crc.c
hint: 54	1164	Variable 'Lb' has been eliminated by optimizer	crc.c
hint: 81	1164	Variable 'temp' has been eliminated by optimizer	crc.c
diagnostics: 0	122	Compilation Started	crc.h
diagnostics: 793	123	Compiled Successfully	uartSend.c
diagnostics: 0	122	Compilation Started	externdef.h
diagnostics: 144	123	Compiled Successfully	batteryChange.c
diagnostics: 0	122	Compilation Started	externdef.h
diagnostics: 259	123	Compiled Successfully	batteryLavel.c
diagnostics: 0	122	Compilation Started	externdef.h
diagnostics: 85	123	Compiled Successfully	wheelDirection.c
diagnostics: 0	122	Compilation Started	externdef.h
diagnostics: 218	123	Compiled Successfully	gearVelocity.c
diagnostics: 0	122	Compilation Started	externdef.h
diagnostics: 89	123	Compiled Successfully	batteryControl.c
diagnostics: 0	122	Compilation Started	externdef.h
diagnostics: 51	123	Compiled Successfully	lightControl.c
diagnostics: 0	122	Compilation Started	externdef.h
hint: 0	1004	interrupt handler (interruptDisplay at 0x0044)	interruptUart4.c
diagnostics: 340	123	Compiled Successfully	interruptUart4.c
diagnostics: 0	122	Compilation Started	externdef.h
hint: 0	1004	interrupt handler (interruptJoystick at 0x0037)	interruptUart3.c
diagnostics: 85	123	Compiled Successfully	interruptUart3.c
diagnostics: 0	127	All files Compiled in 7500 ms	 
hint: 0	1144	Used RX: 16 (100%)   Free RX: 0 (0%)	Used RX: 16 (100%)   Free RX: 0 (0%)
hint: 0	1144	Static RAM (bytes): 2644   Dynamic RAM (bytes): 128425	Static RAM (bytes): 2644   Dynamic RAM (bytes): 128425
hint: 0	1144	Used ROM (bytes): 20787 (2%)  Free ROM (bytes): 1027789 (98%)	Used ROM (bytes): 20787 (2%)  Free ROM (bytes): 1027789 (98%)
diagnostics: 0	125	Project Linked Successfully	nest.mcpar
diagnostics: 0	128	Linked in 2547 ms	 
diagnostics: 0	129	Project 'nest.mcpar' completed: 11062 ms	 
diagnostics: 0	103	Finished successfully: 20 avg 2020, 13:55:08	nest.mcpar
